rank,category,channel,구독자수,view,video
1,음악/댄스/가수,BLACKPINK,88200000,310억4076만,515개
2,음악/댄스/가수,BANGTANTV,74700000,203억0266만,"2,197개"
3,음악/댄스/가수,HYBE LABELS,70600000,277억3295만,"1,188개"
4,음악/댄스/가수,SMTOWN,31700000,269억5598만,"4,122개"
5,음악/댄스/가수,JYP Entertainment,26900000,194억1317만,"1,680개"
6,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],26500000,110억5288만,223개
7,음악/댄스/가수,1MILLION Dance Studio,26000000,78억0339만,"5,400개"
8,음악/댄스/가수,1theK (원더케이),24500000,237억1632만,"18,190개"
9,미분류,Alan Becker,22000000,51억1922만,153개
10,음악/댄스/가수,Mnet K-POP,20500000,147억4689만,"32,243개"
11,TV/방송,KBS WORLD TV,18900000,149억2136만,"63,188개"
12,음악/댄스/가수,officialpsy,18000000,105억6800만,128개
14,음식/요리/레시피,Jane ASMR 제인,17600000,72억7156만,"2,122개"
13,음악/댄스/가수,JFlaMusic,17600000,37억8734만,317개
15,음악/댄스/가수,TWICE,15800000,48억7046만,"1,092개"
16,음악/댄스/가수,BIGBANG,15000000,77억5904만,776개
17,음식/요리/레시피,Hongyu ASMR 홍유,14900000,49억8389만,633개
18,키즈/어린이,Boram Tube ToysReview [보람튜브 토이리뷰],14600000,50억0684만,608개
19,키즈/어린이,서은일상이야기,14000000,25억7528만,696개
20,키즈/어린이,BIBO와 장난감,12900000,31억6814만,184개
21,음악/댄스/가수,Stray Kids,12500000,30억2019만,770개
22,음식/요리/레시피,[햄지]Hamzy,11300000,38억1261만,602개
23,키즈/어린이,핑크퐁 (인기 동요・동화),11200000,70억5498만,"3,079개"
24,키즈/어린이,DuDuPopTOY,11000000,50억5356만,"2,524개"
25,키즈/어린이,토이몽 TV - ToyMong Tv,10900000,44억5517만,"1,347개"
26,음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,10700000,13억5437만,"1,495개"
28,미분류,GH'S,10600000,65억5146만,401개
27,음악/댄스/가수,Stone Music Entertainment,10600000,94억2749만,"10,072개"
29,TV/방송,MBCkpop,10300000,88억9766만,"45,946개"
30,키즈/어린이,Larva TUBA,10000000,45억0383만,"2,112개"
31,음식/요리/레시피,쏘영 Ssoyoung,9800000,15억0392만,793개
32,음악/댄스/가수,SEVENTEEN,9410000,39억9899만,"1,515개"
33,키즈/어린이,서은이야기[SeoeunStory],9390000,25억6394만,"1,213개"
34,음악/댄스/가수,EXO,9280000,8억8390만,413개
35,키즈/어린이,Boram Tube [宝蓝和朋友们],9200000,24억8274만,487개
36,음악/댄스/가수,Mnet TV,9060000,115억5726만,"22,217개"
37,TV/방송,M2,9020000,79억0290만,"19,080개"
38,뉴스/정치/사회,MBCentertainment,8950000,168억5968만,"97,437개"
39,음식/요리/레시피,문복희 Eat with Boki,8910000,24억5793만,708개
40,해외,Serie A,8830000,34억2371만,"25,561개"
41,음악/댄스/가수,iKON,8800000,25억1675만,628개
42,미분류,CRAZY GREAPA,8700000,71억7876만,708개
43,음악/댄스/가수,이지금 [IU Official],8520000,20억6996만,171개
44,음악/댄스/가수,ITZY,8210000,20억8025만,"1,065개"
45,음식/요리/레시피,tzuyang쯔양,8150000,18억7491만,525개
46,TV/방송,KBS Kpop,7750000,70억3347만,"38,620개"
47,음악/댄스/가수,ENHYPEN,7730000,12억4513만,836개
48,키즈/어린이,MariAndKids,7670000,22억4606만,699개
49,뉴스/정치/사회,JTBC Entertainment,7620000,116억8002만,"78,404개"
50,음악/댄스/가수,YG ENTERTAINMENT,7470000,19억2788만,410개
51,음식/요리/레시피,야미보이 Yummyboy,7420000,30억5992만,"1,049개"
53,미분류,승비니 Seungbini,7360000,50억2949만,606개
52,TV/방송,스브스케이팝 X INKIGAYO,7360000,58억1869만,"32,561개"
54,키즈/어린이,SonicToy소닉토이,7290000,31억4546만,170개
55,음악/댄스/가수,Sungha Jung,7080000,19억8145만,"1,381개"
56,키즈/어린이,미니특공대TV,7010000,39억1776만,"1,449개"
57,음악/댄스/가수,MAMAMOO,6950000,23억4009만,838개
58,음악/댄스/가수,TREASURE (트레저),6940000,19억6891만,723개
59,음악/댄스/가수,ALL THE K-POP,6800000,45억0838만,"26,714개"
60,TV/방송,SBS Entertainment,6760000,87억0907만,"226,400개"
61,회사/오피셜,YouTube Originals,6740000,6억6196만,481개
63,TV/방송,SBS Drama,6630000,73억5089만,"345,667개"
62,키즈/어린이,[장난감티비]TOYTV,6630000,29억8494만,"1,680개"
64,TV/방송,tvN drama,6620000,76억3463만,"51,993개"
65,음식/요리/레시피,5 분 Tricks,6560000,26억4953만,"4,481개"
66,키즈/어린이,With Kids Playground [위드키즈 놀이터],6400000,23억1519만,500개
67,회사/오피셜,Samsung,6380000,15억8692만,"1,788개"
69,미분류,NLE CHOPPA,6270000,22억7960만,369개
68,음악/댄스/가수,GOT7,6270000,8억9940만,579개
70,음악/댄스/가수,Rosesarerosie,6150000,7771만,10개
71,음악/댄스/가수,NCT DREAM,5990000,12억1184만,548개
72,패션/미용,PONY Syndrome,5950000,3억4020만,237개
73,음악/댄스/가수,starshipTV,5920000,39억9681만,"2,125개"
74,음악/댄스/가수,NCT,5860000,8억5501만,592개
75,키즈/어린이,미니팡TV,5850000,37억7955만,926개
76,음식/요리/레시피,백종원 PAIK JONG WON,5790000,9억0169만,524개
77,키즈/어린이,PinkyPopTOY,5770000,7억6142만,158개
79,음악/댄스/가수,2NE1,5600000,22억5659만,321개
78,BJ/인물/연예인,영국남자 Korean Englishman,5600000,19억7112만,521개
80,키즈/어린이,스위트티비 SweetTV,5590000,28억6203만,436개
81,미분류,MayTree,5560000,12억1372만,223개
82,키즈/어린이,TOY GUMA,5470000,18억0461만,393개
83,TV/방송,채널 십오야,5380000,14억6212만,825개
84,음식/요리/레시피,푸메Fume,5360000,11억9632만,668개
85,음악/댄스/가수,BT21,5340000,4억8563만,382개
